C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_05_834.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_05_834.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_05_834.jpg,0,0,0,1.686586
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_05_923.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_05_923.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_05_923.jpg,0,0,0,1.673031
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_013.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_013.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_013.jpg,0,0,0,1.656241
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_105.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_105.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_105.jpg,0,0,0,1.642931
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_195.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_195.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_195.jpg,0,0,0,1.626443
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_285.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_285.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_285.jpg,0,0,0,1.613372
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_376.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_376.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_376.jpg,0,0,0,1.597181
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_466.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_466.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_466.jpg,0,0,0,1.584345
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_562.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_562.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_562.jpg,0,0.09636853,0,1.62486
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_646.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_646.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_646.jpg,0,0.3605021,0,1.845155
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_735.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_735.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_735.jpg,0,0.6296747,0,2.475984
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_825.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_825.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_825.jpg,0,0.899308,0,3.24407
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_06_917.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_06_917.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_06_917.jpg,0.15,1,0,4.40416
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_07_006.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_07_006.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_07_006.jpg,0,1,0,5.329612
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_07_096.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_07_096.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_07_096.jpg,0,1,0,6.482192
C:\Users\Nick\Desktop\driving_images\IMG\center_2019_04_01_19_21_07_205.jpg,C:\Users\Nick\Desktop\driving_images\IMG\left_2019_04_01_19_21_07_205.jpg,C:\Users\Nick\Desktop\driving_images\IMG\right_2019_04_01_19_21_07_205.jpg,0,1,0,7.624017
